,Capacity,TimeToSolve,Objective,Movements,Gap,LowerBound,Sequence
BGGB,1,1.902,14.704,13.0,0.0001,14.7025296,"[18, 50, 62, 52, 7, 51, 14, 53, 63, 15, 65, 8]"
BGGB,2,23.722,10.614,13.0,0.0001,10.6129386,"[18, 51, 52, 7, 14, 50, 53, 62, 63, 8, 15, 65]"
BGGB,3,91.669,9.414,13.0,0.0001,9.4130586,"[18, 50, 51, 52, 7, 53, 14, 62, 63, 15, 8, 65]"
BGGB,4,110.203,8.484,13.0,0.0001,8.4831516,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65]"
BGBG,1,1.696,14.704,13.0,0.0001,14.7025296,"[18, 50, 62, 53, 14, 51, 7, 52, 63, 15, 65, 8]"
BGBG,2,23.358,10.614,13.0,0.0001,10.6129386,"[18, 51, 53, 14, 7, 52, 50, 62, 63, 8, 15, 65]"
BGBG,3,88.905,9.414,13.0,0.0001,9.4130586,"[18, 50, 51, 52, 7, 53, 14, 62, 63, 15, 8, 65]"
BGBG,4,82.679,8.484,13.0,0.0001,8.4831516,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65]"
GGBB,1,1.248,14.704,13.0,0.0001,14.7025296,"[18, 50, 7, 51, 14, 52, 62, 53, 63, 15, 65, 8]"
GGBB,2,21.519,10.014,13.0,0.0001,10.0129986,"[18, 50, 51, 14, 7, 52, 53, 62, 63, 15, 8, 65]"
GGBB,3,83.473,9.414,13.0,0.0001,9.4130586,"[18, 50, 51, 52, 7, 53, 14, 62, 63, 8, 15, 65]"
GGBB,4,106.48,8.484,13.0,0.0001,8.4831516,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65]"
BBGG,1,1.273,14.704,13.0,0.0001,14.7025296,"[18, 50, 62, 52, 14, 53, 7, 51, 63, 8, 65, 15]"
BBGG,2,22.822,10.614,13.0,0.0001,10.6129386,"[18, 52, 53, 14, 7, 51, 50, 62, 63, 15, 8, 65]"
BBGG,3,73.52,9.414,13.0,0.0001,9.4130586,"[18, 50, 51, 52, 7, 53, 14, 62, 63, 15, 8, 65]"
BBGG,4,71.962,8.484,13.0,0.0001,8.4831516,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65]"
GBBG,1,1.315,14.704,13.0,0.0001,14.7025296,"[18, 50, 14, 53, 7, 52, 62, 51, 63, 8, 65, 15]"
GBBG,2,24.25,10.314,13.0,0.0001,10.3129686,"[18, 50, 53, 14, 7, 52, 51, 62, 63, 8, 15, 65]"
GBBG,3,95.753,9.414,13.0,0.0001,9.4130586,"[18, 50, 51, 52, 7, 53, 14, 62, 63, 15, 8, 65]"
GBBG,4,108.722,8.484,13.0,0.0001,8.4831516,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65]"
GBGB,1,1.479,14.704,13.0,0.0001,14.7025296,"[18, 50, 7, 52, 14, 53, 62, 51, 63, 15, 65, 8]"
GBGB,2,30.752,10.314,13.0,0.0001,10.3129686,"[18, 50, 52, 7, 14, 53, 51, 62, 63, 8, 15, 65]"
GBGB,3,87.626,9.414,13.0,0.0001,9.4130586,"[18, 50, 51, 52, 7, 53, 14, 62, 63, 15, 8, 65]"
GBGB,4,99.517,8.484,13.0,0.0001,8.4831516,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65]"
