,Capacity,TimeToSolve,Objective,Movements,Gap,LowerBound,Sequence
BRGG,1,20.716,16.132,17.0,0.0001,16.1303868,"[18, 51, 11, 53, 7, 12, 14, 52, 11, 50, 62, 12, 63, 8, 65, 15]"
BRGG,2,120.024,11.952,17.0,0.910893574,1.064999999,"[18, 51, 52, 18, 11, 50, 53, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
BRGG,3,120.039,11.952,17.0,0.910893574,1.065,"[18, 51, 52, 18, 11, 50, 53, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
BRGG,4,120.011,11.957,17.0,0.910930836,1.065,"[18, 52, 53, 51, 50, 11, 18, 19, 14, 12, 7, 8, 15, 65, 64, 63]"
RGGB,1,19.844,15.232,17.0,0.0001,15.2304768,"[18, 50, 11, 51, 18, 52, 7, 12, 14, 53, 62, 19, 63, 15, 65, 8]"
RGGB,2,120.033,11.952,17.0,0.910893574,1.065,"[18, 52, 50, 18, 11, 51, 53, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
RGGB,3,120.049,11.652,17.0,0.908599382,1.065,"[18, 50, 51, 18, 11, 52, 53, 7, 12, 14, 19, 62, 63, 8, 15, 65]"
RGGB,4,120.009,11.652,17.0,0.908599382,1.065,"[18, 51, 50, 18, 11, 52, 53, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
GBGR,1,17.122,15.832,17.0,0.0001,15.8304168,"[18, 50, 11, 52, 7, 53, 18, 51, 62, 19, 14, 12, 63, 15, 65, 8]"
GBGR,2,120.025,12.252,17.0,0.913075416,1.064999999,"[18, 53, 52, 11, 18, 50, 51, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
GBGR,3,120.016,12.252,17.0,0.913075416,1.065,"[18, 53, 50, 18, 11, 51, 52, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
GBGR,4,120.01,11.957,17.0,0.910930836,1.065,"[18, 50, 51, 52, 53, 11, 18, 19, 12, 14, 7, 8, 15, 65, 64, 63]"
GGBR,1,17.954,15.832,17.0,0.0001,15.8304168,"[18, 50, 11, 51, 7, 53, 18, 52, 62, 19, 14, 12, 63, 15, 65, 8]"
GGBR,2,120.032,12.252,17.0,0.913075416,1.064999999,"[18, 53, 50, 11, 18, 51, 52, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
GGBR,3,120.04,12.252,17.0,0.913075416,1.065,"[18, 51, 53, 18, 11, 50, 52, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
GGBR,4,120.026,11.957,17.0,0.910930836,1.065,"[18, 51, 52, 53, 50, 11, 18, 19, 14, 12, 7, 8, 15, 65, 64, 63]"
GRGB,1,16.747,15.232,17.0,0.0001,15.2304768,"[18, 50, 18, 51, 11, 52, 7, 12, 14, 53, 62, 19, 63, 15, 65, 8]"
GRGB,2,120.023,11.652,17.0,0.908599382,1.065,"[18, 50, 51, 11, 18, 52, 53, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
GRGB,3,120.033,11.652,17.0,0.908599382,1.065,"[18, 50, 51, 11, 18, 52, 53, 7, 12, 14, 19, 62, 63, 8, 15, 65]"
GRGB,4,120.008,11.652,17.0,0.908599382,1.065,"[18, 50, 51, 11, 18, 52, 53, 7, 12, 14, 19, 62, 63, 8, 15, 65]"
GBRG,1,17.306,15.832,17.0,0.0001,15.8304168,"[18, 53, 7, 52, 18, 50, 11, 51, 62, 19, 14, 12, 63, 8, 65, 15]"
GBRG,2,120.012,12.252,17.0,0.913075416,1.064999999,"[18, 53, 52, 18, 11, 50, 51, 7, 12, 14, 19, 62, 63, 8, 15, 65]"
GBRG,3,120.038,11.952,17.0,0.910893574,1.065,"[18, 52, 50, 18, 11, 51, 53, 7, 12, 14, 19, 62, 63, 8, 15, 65]"
GBRG,4,120.032,11.957,17.0,0.910930836,1.065,"[18, 50, 51, 53, 52, 11, 18, 19, 12, 14, 7, 8, 15, 65, 64, 63]"
GGRB,1,17.47,15.532,17.0,0.0001,15.5304468,"[18, 52, 11, 50, 18, 51, 7, 12, 14, 53, 62, 19, 63, 8, 65, 15]"
GGRB,2,120.035,11.952,17.0,0.910893574,1.065,"[18, 52, 50, 11, 18, 51, 53, 7, 12, 14, 19, 62, 63, 8, 15, 65]"
GGRB,3,120.013,11.952,17.0,0.910893574,1.065,"[18, 50, 52, 51, 11, 18, 53, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
GGRB,4,120.151,11.957,17.0,0.910930836,1.065,"[18, 52, 53, 51, 50, 11, 18, 19, 14, 12, 7, 8, 15, 65, 64, 63]"
RBGG,1,22.054,15.832,17.0,0.0001,15.8304168,"[18, 50, 11, 53, 14, 12, 7, 52, 11, 51, 62, 12, 63, 8, 65, 15]"
RBGG,2,120.033,11.952,17.0,0.910893574,1.065,"[18, 52, 50, 18, 11, 51, 53, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
RBGG,3,120.045,11.952,17.0,0.910893574,1.065,"[18, 50, 52, 11, 18, 51, 53, 7, 12, 14, 19, 62, 63, 8, 15, 65]"
RBGG,4,120.042,11.957,17.0,0.910930836,1.065,"[18, 53, 52, 51, 50, 11, 18, 19, 14, 12, 7, 8, 15, 65, 64, 63]"
BGGR,1,20.772,16.132,17.0,0.0001,16.1303868,"[18, 52, 7, 53, 18, 51, 11, 50, 62, 19, 14, 12, 63, 15, 65, 8]"
BGGR,2,120.008,12.252,17.0,0.913075416,1.065,"[18, 51, 53, 18, 11, 50, 52, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
BGGR,3,120.007,12.252,17.0,0.913075416,1.065,"[18, 53, 52, 18, 11, 50, 51, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
BGGR,4,120.056,11.957,17.0,0.910930836,1.065,"[18, 50, 53, 52, 51, 11, 18, 19, 14, 12, 7, 8, 15, 65, 64, 63]"
RGBG,1,19.425,15.532,17.0,0.0001,15.5304468,"[18, 50, 11, 51, 18, 53, 14, 12, 7, 52, 62, 19, 63, 8, 65, 15]"
RGBG,2,120.035,11.652,17.0,0.908599382,1.065,"[18, 50, 51, 11, 18, 52, 53, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
RGBG,3,120.019,11.652,17.0,0.908599382,1.065,"[18, 50, 51, 11, 18, 52, 53, 7, 12, 14, 19, 62, 63, 15, 8, 65]"
