,Value,Operation_1,Operation_2,Method
15,74.12,selectLargest(impact()),selectSmallest(value()),IterativeDiving
9,74.205,selectLargest(domainMin()),selectSmallest(value()),IterativeDiving
99,76.753,selectSmallest(successRate()),selectSmallest(value()),IterativeDiving
16,80.333,selectLargest(impact()),selectSmallest(valueImpact()),IterativeDiving
11,80.689,selectLargest(domainMin()),selectSmallest(valueSuccessRate()),IterativeDiving
101,80.785,selectSmallest(successRate()),selectSmallest(valueSuccessRate()),IterativeDiving
10,80.852,selectLargest(domainMin()),selectSmallest(valueImpact()),IterativeDiving
100,80.862,selectSmallest(successRate()),selectSmallest(valueImpact()),IterativeDiving
17,81.046,selectLargest(impact()),selectSmallest(valueSuccessRate()),IterativeDiving
6,81.32,selectLargest(domainMin()),selectLargest(value()),IterativeDiving
12,81.344,selectLargest(impact()),selectLargest(value()),IterativeDiving
96,81.418,selectSmallest(successRate()),selectLargest(value()),IterativeDiving
13,81.597,selectLargest(impact()),selectLargest(valueImpact()),IterativeDiving
14,81.789,selectLargest(impact()),selectLargest(valueSuccessRate()),IterativeDiving
8,81.81,selectLargest(domainMin()),selectLargest(valueSuccessRate()),IterativeDiving
7,81.961,selectLargest(domainMin()),selectLargest(valueImpact()),IterativeDiving
57,81.987,selectSmallest(domainMin()),selectSmallest(value()),IterativeDiving
27,82.262,selectLargest(localImpact()),selectSmallest(value()),IterativeDiving
97,82.321,selectSmallest(successRate()),selectLargest(valueImpact()),IterativeDiving
98,82.346,selectSmallest(successRate()),selectLargest(valueSuccessRate()),IterativeDiving
3,82.464,selectLargest(domainMax()),selectSmallest(value()),IterativeDiving
69,82.527,selectSmallest(impact()),selectSmallest(value()),IterativeDiving
28,82.698,selectLargest(localImpact()),selectSmallest(valueImpact()),IterativeDiving
58,82.727,selectSmallest(domainMin()),selectSmallest(valueImpact()),IterativeDiving
59,82.772,selectSmallest(domainMin()),selectSmallest(valueSuccessRate()),IterativeDiving
29,83.034,selectLargest(localImpact()),selectSmallest(valueSuccessRate()),IterativeDiving
4,83.107,selectLargest(domainMax()),selectSmallest(valueImpact()),IterativeDiving
70,83.259,selectSmallest(impact()),selectSmallest(valueImpact()),IterativeDiving
5,83.321,selectLargest(domainMax()),selectSmallest(valueSuccessRate()),IterativeDiving
71,83.416,selectSmallest(impact()),selectSmallest(valueSuccessRate()),IterativeDiving
0,83.487,selectLargest(domainMax()),selectLargest(value()),IterativeDiving
24,83.579,selectLargest(localImpact()),selectLargest(value()),IterativeDiving
66,83.645,selectSmallest(impact()),selectLargest(value()),IterativeDiving
25,83.774,selectLargest(localImpact()),selectLargest(valueImpact()),IterativeDiving
67,84.038,selectSmallest(impact()),selectLargest(valueImpact()),IterativeDiving
21,84.074,selectLargest(ImpactOfLastBranch()),selectSmallest(value()),IterativeDiving
201,84.11,selectSmallest(successRate()),selectSmallest(value()),Restart
1,84.199,selectLargest(domainMax()),selectLargest(valueImpact()),IterativeDiving
26,84.231,selectLargest(localImpact()),selectLargest(valueSuccessRate()),IterativeDiving
2,84.312,selectLargest(domainMax()),selectLargest(valueSuccessRate()),IterativeDiving
111,84.335,selectLargest(domainMin()),selectSmallest(value()),Restart
55,84.343,selectSmallest(domainMin()),selectLargest(valueImpact()),IterativeDiving
56,84.375,selectSmallest(domainMin()),selectLargest(valueSuccessRate()),IterativeDiving
54,84.444,selectSmallest(domainMin()),selectLargest(value()),IterativeDiving
39,84.455,selectLargest(regretOnMin()),selectSmallest(value()),IterativeDiving
68,84.613,selectSmallest(impact()),selectLargest(valueSuccessRate()),IterativeDiving
81,84.697,selectSmallest(localImpact()),selectSmallest(value()),IterativeDiving
82,84.831,selectSmallest(localImpact()),selectSmallest(valueImpact()),IterativeDiving
23,84.998,selectLargest(ImpactOfLastBranch()),selectSmallest(valueSuccessRate()),IterativeDiving
40,85.146,selectLargest(regretOnMin()),selectSmallest(valueImpact()),IterativeDiving
22,85.207,selectLargest(ImpactOfLastBranch()),selectSmallest(valueImpact()),IterativeDiving
117,85.311,selectLargest(impact()),selectSmallest(value()),Restart
41,85.397,selectLargest(regretOnMin()),selectSmallest(valueSuccessRate()),IterativeDiving
51,85.494,selectSmallest(domainMax()),selectSmallest(value()),IterativeDiving
83,85.601,selectSmallest(localImpact()),selectSmallest(valueSuccessRate()),IterativeDiving
53,85.74,selectSmallest(domainMax()),selectSmallest(valueSuccessRate()),IterativeDiving
18,85.847,selectLargest(ImpactOfLastBranch()),selectLargest(value()),IterativeDiving
52,86.053,selectSmallest(domainMax()),selectSmallest(valueImpact()),IterativeDiving
36,86.057,selectLargest(regretOnMin()),selectLargest(value()),IterativeDiving
78,86.079,selectSmallest(localImpact()),selectLargest(value()),IterativeDiving
188,86.474,selectSmallest(regretOnMax()),selectLargest(valueSuccessRate()),Restart
146,86.841,selectLargest(successRate()),selectLargest(valueSuccessRate()),Restart
38,87.191,selectLargest(regretOnMin()),selectLargest(valueSuccessRate()),IterativeDiving
19,87.193,selectLargest(ImpactOfLastBranch()),selectLargest(valueImpact()),IterativeDiving
48,87.357,selectSmallest(domainMax()),selectLargest(value()),IterativeDiving
