Operation_1,selectLargest(value()),selectLargest(valueImpact()),selectLargest(valueSuccessRate()),selectSmallest(value()),selectSmallest(valueImpact()),selectSmallest(valueSuccessRate())
selectLargest(ImpactOfLastBranch()),85.847,87.193,87.93,84.074,85.207,84.998
selectLargest(domainMax()),83.487,84.199,84.312,82.464,83.107,83.321
selectLargest(domainMin()),81.32,81.961,81.81,74.205,80.852,80.689
selectLargest(impact()),81.344,81.597,81.789,74.12,80.333,81.046
selectLargest(localImpact()),83.579,83.774,84.231,82.262,82.698,83.034
selectLargest(regretOnMax()),92.332,92.935,93.725,87.989,88.608,91.571
selectLargest(regretOnMin()),86.057,87.499,87.191,84.455,85.146,85.397
selectLargest(successRate()),95.939,97.28,98.033,93.837,94.898,95.286
selectSmallest(ImpactOfLastBranch()),92.205,94.451,94.338,88.298,88.781,91.797
selectSmallest(domainMax()),87.357,88.371,88.562,85.494,86.053,85.74
selectSmallest(domainMin()),84.444,84.343,84.375,81.987,82.727,82.772
selectSmallest(domainSize()),98.412,98.571,98.425,94.448,96.253,95.631
selectSmallest(impact()),83.645,84.038,84.613,82.527,83.259,83.416
selectSmallest(localImpact()),86.079,87.384,87.858,84.697,84.831,85.601
selectSmallest(regretOnMax()),98.618,99.692,101.557,95.573,97.248,98.714
selectSmallest(regretOnMin()),93.66,95.162,96.072,89.351,90.603,94.262
selectSmallest(successRate()),81.418,82.321,82.346,76.753,80.862,80.785
