Operation_1,selectLargest(value()),selectLargest(valueImpact()),selectLargest(valueSuccessRate()),selectRandomValue(),selectSmallest(value()),selectSmallest(valueImpact()),selectSmallest(valueSuccessRate())
selectLargest(ImpactOfLastBranch()),1.708,1.707,1.705,1.74,1.693,1.699,1.744
selectLargest(domainMax()),1.703,1.718,1.69,1.696,1.676,1.671,1.646
selectLargest(domainMin()),1.676,1.735,1.635,1.739,1.651,1.736,1.66
selectLargest(impact()),1.668,1.742,1.644,1.651,1.65,1.664,1.711
selectLargest(localImpact()),1.628,1.739,1.645,1.742,1.643,1.707,1.713
selectLargest(regretOnMax()),1.641,1.672,1.718,1.675,1.696,1.752,1.635
selectLargest(regretOnMin()),1.698,1.654,1.639,1.782,1.681,1.674,1.729
selectLargest(successRate()),1.633,1.725,1.618,1.748,1.659,1.754,1.726
selectRandomVar(),1.625,1.691,1.721,1.679,1.694,1.659,1.709
selectSmallest(ImpactOfLastBranch()),1.675,1.701,1.828,1.687,1.822,1.691,1.695
selectSmallest(domainMax()),1.758,1.648,1.697,1.771,1.748,1.669,1.633
selectSmallest(domainMin()),1.777,1.696,1.637,1.817,1.651,1.725,1.692
selectSmallest(domainSize()),1.617,1.75,1.677,1.721,1.685,1.641,1.689
selectSmallest(impact()),1.664,1.617,1.689,1.638,1.668,1.716,1.675
selectSmallest(localImpact()),1.702,1.686,1.741,1.813,1.768,1.631,1.662
selectSmallest(regretOnMax()),1.627,1.818,1.701,1.796,1.749,1.726,1.87
selectSmallest(regretOnMin()),1.797,1.684,1.618,1.774,1.658,1.786,1.651
selectSmallest(successRate()),1.84,1.835,1.766,1.655,1.723,1.79,1.649
