Operation_1,selectLargest(value()),selectLargest(valueImpact()),selectLargest(valueSuccessRate()),selectSmallest(value()),selectSmallest(valueImpact()),selectSmallest(valueSuccessRate())
selectLargest(ImpactOfLastBranch()),24.007,24.089,24.186,23.846,24.129,24.058
selectLargest(domainMax()),22.321,22.458,22.454,22.377,22.504,22.377
selectLargest(domainMin()),22.117,22.093,22.101,21.923,22.32,22.044
selectLargest(impact()),23.682,23.798,23.665,23.598,23.613,23.81
selectLargest(localImpact()),23.9,23.998,24.108,23.759,23.943,23.857
selectLargest(regretOnMax()),23.156,23.496,23.494,22.723,22.716,22.722
selectLargest(regretOnMin()),22.542,22.639,22.507,22.507,22.525,22.464
selectLargest(successRate()),23.549,23.622,23.673,23.38,23.532,23.723
selectSmallest(ImpactOfLastBranch()),21.566,21.827,21.792,21.556,21.586,21.427
selectSmallest(domainMax()),21.024,20.997,20.941,21.153,21.058,21.084
selectSmallest(domainMin()),20.89,20.898,20.956,20.735,20.898,20.863
selectSmallest(domainSize()),21.901,22.009,21.874,21.809,21.892,21.909
selectSmallest(impact()),21.456,21.433,21.539,21.466,21.359,21.459
selectSmallest(localImpact()),21.78,21.652,21.647,21.571,21.592,21.536
selectSmallest(regretOnMax()),21.132,21.252,21.137,21.152,21.135,21.08
selectSmallest(regretOnMin()),20.931,20.995,21.088,21.028,20.968,21.025
selectSmallest(successRate()),21.376,21.423,21.332,21.216,21.278,21.187
