,Capacity,TimeToSolve,Objective,Iterations,Constraints,Variables,Movements,Gap,LowerBound,Sequence
BBGG,1,171.203,14.704,11342139.0,7898.0,6496.0,13.0,0.0,14.704,"[18, 50, 62, 53, 14, 52, 7, 51, 63, 8, 65, 15, 64]"
BBGG,2,392.375,10.614,23339274.0,7898.0,6496.0,13.0,1.0468e-05,10.613888889,"[18, 52, 53, 7, 14, 51, 50, 62, 63, 8, 15, 65, 64]"
BBGG,3,153.547,9.414,10790695.0,7898.0,6496.0,13.0,7.8934e-05,9.413256918,"[18, 50, 51, 52, 7, 53, 14, 62, 63, 15, 8, 65, 64]"
BBGG,4,67.828,8.484,4101985.0,7898.0,6496.0,13.0,4.4511e-05,8.483622365,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 15, 8, 65, 64]"
GBBG,1,147.797,14.704,9603076.0,7898.0,6496.0,13.0,0.0,14.704,"[18, 50, 7, 53, 14, 51, 62, 52, 63, 8, 65, 15, 64]"
GBBG,2,130.015,10.314,8397308.0,7898.0,6496.0,13.0,8.7139e-05,10.313101245,"[18, 50, 53, 14, 7, 52, 51, 62, 63, 8, 15, 65, 64]"
GBBG,3,112.656,9.414,5719833.0,7898.0,6496.0,13.0,9.5602e-05,9.4131,"[18, 50, 51, 52, 7, 53, 14, 62, 63, 8, 15, 65, 64]"
GBBG,4,57.703,8.484,4180158.0,7898.0,6496.0,13.0,0.0,8.484,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65, 64]"
BGBG,1,127.844,14.704,7631497.0,7898.0,6496.0,13.0,0.0,14.704,"[18, 50, 62, 53, 14, 51, 7, 52, 63, 15, 65, 8, 64]"
BGBG,2,140.343,10.614,8490496.0,7898.0,6496.0,13.0,7.7407e-05,10.613178404,"[18, 51, 53, 14, 7, 52, 50, 62, 63, 8, 15, 65, 64]"
BGBG,3,94.75,9.414,6070971.0,7898.0,6496.0,13.0,0.0,9.414,"[18, 50, 51, 52, 7, 53, 14, 62, 63, 8, 15, 65, 64]"
BGBG,4,57.515,8.484,3914940.0,7898.0,6496.0,13.0,0.0,8.484,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65, 64]"
GGBB,1,161.86,14.704,11118054.0,7898.0,6496.0,13.0,0.0,14.704,"[18, 50, 14, 51, 7, 52, 62, 53, 63, 15, 65, 8, 64]"
GGBB,2,230.922,10.014,13670770.0,7898.0,6496.0,13.0,9.4312e-05,10.013055556,"[18, 50, 51, 7, 14, 52, 53, 62, 63, 8, 15, 65, 64]"
GGBB,3,149.969,9.414,9196439.0,7898.0,6496.0,13.0,9.6568e-05,9.413090909,"[18, 50, 51, 52, 7, 53, 14, 62, 63, 8, 15, 65, 64]"
GGBB,4,63.312,8.484,4216671.0,7898.0,6496.0,13.0,0.0,8.484,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 15, 8, 65, 64]"
GBGB,1,189.64,14.704,13065829.0,7898.0,6496.0,13.0,0.0,14.704,"[18, 50, 14, 52, 7, 51, 62, 53, 63, 15, 65, 8, 64]"
GBGB,2,393.719,10.314,30165609.0,7898.0,6496.0,13.0,1.0388e-05,10.313892857,"[18, 50, 52, 7, 14, 53, 51, 62, 63, 8, 15, 65, 64]"
GBGB,3,78.797,9.414,5306749.0,7898.0,6496.0,13.0,9.6568e-05,9.413090909,"[18, 50, 51, 52, 7, 53, 14, 62, 63, 15, 8, 65, 64]"
GBGB,4,78.141,8.484,4965230.0,7898.0,6496.0,13.0,5.6686e-05,8.483519075,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 15, 8, 65, 64]"
BGGB,1,162.704,14.704,11434542.0,7898.0,6496.0,13.0,6.8009e-05,14.703,"[18, 50, 62, 52, 7, 51, 14, 53, 63, 8, 65, 15, 64]"
BGGB,2,382.484,10.614,24672016.0,7898.0,6496.0,13.0,0.0,10.614,"[18, 51, 52, 14, 7, 53, 50, 62, 63, 8, 15, 65, 64]"
BGGB,3,79.281,9.414,4026325.0,7898.0,6496.0,13.0,0.0,9.414,"[18, 50, 51, 52, 7, 53, 14, 62, 63, 15, 8, 65, 64]"
BGGB,4,71.203,8.484,5073004.0,7898.0,6496.0,13.0,0.0,8.484,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 15, 8, 65, 64]"
