,Capacity,TimeToSolve,Objective,Iterations,Constraints,Variables,Movements,Gap,LowerBound,Sequence
GBGR,1,1867.297,17.66,73634826.0,10194.0,8352.0,17.0,0.0,17.66,"[18, 50, 14, 53, 11, 51, 62, 15, 63, 12, 14, 52, 7, 8, 65, 15, 64]"
GBGR,2,3605.453,14.99,144386837.0,10194.0,8352.0,17.0,0.43922739,8.405981417,"[18, 50, 52, 14, 7, 53, 51, 11, 8, 63, 62, 12, 7, 8, 15, 65, 64]"
GBGR,3,3607.547,14.233,114653311.0,10194.0,8352.0,17.0,0.347524636,9.286681853,"[18, 50, 51, 52, 14, 53, 7, 62, 15, 8, 14, 7, 8, 15, 65, 64, 63]"
GBGR,4,2106.031,12.848,93819304.0,10194.0,8352.0,17.0,5.6002e-05,12.847280488,"[18, 50, 51, 52, 53, 14, 7, 8, 15, 63, 62, 14, 7, 8, 15, 65, 64]"
RGBG,1,2150.641,16.76,92669570.0,10194.0,8352.0,17.0,0.0,16.76,"[18, 50, 11, 51, 14, 52, 63, 15, 62, 12, 14, 53, 7, 8, 65, 15, 64]"
RGBG,2,3602.25,14.39,151765509.0,10194.0,8352.0,17.0,0.342378053,9.46317982,"[18, 50, 11, 51, 53, 14, 7, 52, 8, 63, 62, 12, 7, 8, 15, 65, 64]"
RGBG,3,3601.734,13.28,143355319.0,10194.0,8352.0,17.0,0.074115162,12.295750651,"[18, 50, 11, 51, 52, 53, 7, 8, 7, 12, 14, 62, 63, 8, 15, 65, 64]"
RGBG,4,1913.016,12.848,82514956.0,10194.0,8352.0,17.0,9.3006e-05,12.84680506,"[18, 50, 51, 52, 53, 7, 14, 8, 15, 63, 62, 14, 7, 8, 15, 65, 64]"
GGBR,1,2689.39,17.66,97784535.0,10194.0,8352.0,17.0,0.0,17.66,"[18, 50, 7, 53, 11, 51, 14, 52, 63, 15, 62, 12, 14, 8, 65, 15, 64]"
GGBR,2,3604.562,14.978,150239084.0,10194.0,8352.0,17.0,0.371057,9.42030825,"[18, 50, 53, 14, 7, 8, 15, 63, 14, 51, 52, 7, 62, 15, 8, 65, 64]"
GGBR,3,3601.485,13.813,159816777.0,10194.0,8352.0,17.0,0.137412433,11.914922069,"[18, 50, 51, 53, 7, 14, 8, 15, 62, 14, 7, 52, 8, 15, 65, 64, 63]"
GGBR,4,2476.406,12.848,102672341.0,10194.0,8352.0,17.0,9.7291e-05,12.84675,"[18, 50, 51, 52, 53, 14, 7, 8, 15, 63, 62, 14, 7, 8, 15, 65, 64]"
BGGR,1,1802.875,17.66,75548085.0,10194.0,8352.0,17.0,0.0,17.66,"[18, 51, 7, 53, 11, 50, 63, 8, 62, 12, 14, 52, 7, 8, 65, 15, 64]"
BGGR,2,3605.078,15.14,121869247.0,10194.0,8352.0,17.0,0.36908302,9.552083079,"[18, 51, 52, 14, 7, 53, 50, 18, 63, 15, 8, 64, 62, 19, 7, 8, 65]"
BGGR,3,3604.625,13.813,132326339.0,10194.0,8352.0,17.0,0.311066906,9.516232823,"[18, 50, 51, 53, 7, 14, 62, 15, 8, 52, 14, 7, 8, 15, 65, 64, 63]"
BGGR,4,2854.281,12.848,120646176.0,10194.0,8352.0,17.0,8.1908e-05,12.846947644,"[18, 50, 51, 52, 53, 7, 14, 8, 15, 63, 62, 14, 7, 8, 15, 65, 64]"
GRBG,1,1924.094,17.06,70735721.0,10194.0,8352.0,17.0,6.513e-05,17.058888889,"[18, 51, 11, 50, 7, 8, 63, 12, 14, 53, 7, 52, 62, 15, 65, 8, 64]"
GRBG,2,3605.204,14.678,132705851.0,10194.0,8352.0,17.0,0.398779103,8.824720331,"[18, 50, 51, 14, 7, 8, 15, 62, 14, 52, 53, 7, 63, 15, 8, 65, 64]"
GRBG,3,3601.906,13.513,137171185.0,10194.0,8352.0,17.0,0.164878265,11.285,"[18, 50, 51, 52, 7, 14, 62, 15, 8, 53, 7, 14, 8, 15, 65, 64, 63]"
GRBG,4,3602.031,12.848,133946039.0,10194.0,8352.0,17.0,0.175009566,10.599477099,"[18, 50, 51, 52, 53, 14, 7, 8, 15, 63, 62, 14, 7, 8, 15, 65, 64]"
RBGG,1,1725.891,17.06,69921459.0,10194.0,8352.0,17.0,9.4076e-05,17.058395062,"[18, 50, 11, 52, 7, 8, 63, 12, 14, 53, 7, 51, 62, 8, 65, 15, 64]"
